name,gender,award|Mason Durie Medal|0,award|Callaghan Medal|1,award|Humanities Aronui Medal|2,award|MacDiarmid Medal|3,award|Jones Medal|4,award|Dame Joan Metge Medal|5,award|Pou Aronui Award|6,award|Pickering Medal|7,award|Hatherton Award|8,award|R. J. Scott Medal|9,award|Sir Charles Hercus Medal|10,award|Te Rangi Hiroa Medal|11,award|Rutherford Medal|12,award|Charles Fleming Award|13,award|Thompson Medal|14,award|Leonard Cockayne Memorial Lecture|15,award|T. K. Sidey Medal|16,award|Hamilton Memorial Prize|17,award|Hector Medal|18,award|Hutton Medal|19
Royal New Zealand Forest and Bird Protection Society,G,,,,,,,,,,,,,,1989,,,,,,
John Fraser,M,,,,,,,,,,,2012,,,,,,,,,
Ira James Cunningham,M,,,,,,,,,,,,,,,,,,,1971,
George Petersen,M,,,,,,,,,,,,,2003,,,,,,,
Bernard Cracroft Aston,M,,,,,,,,,,,,,,,,,,,1925,
Peter Wardle,M,,,,,,,,,,,,,,,,1986,,,,
Bruce William Melville,M,,,,,,,,,,2007,,,,,,,,,,
Bruce Charles Baguley,M,,,,,,,,,,,2006,,,,,,,,,
John Hobart Piddington,M,,,,,,,,,,,,,,,,,1959,,,
Dennis George Anthony Nelson,M,,,,,,,,,,,,,,,,,,1983,,
Robin Jon Hawes Clark,M,,,,,,,,,,,,,,,,,2001,,,
Ian Hugh witten,M,,,,,,,,,,,,,,,,,,,2005,
Robert Anderson,M,,,,,,,,,,,,,,,2000,,,,,
Ian Brown,M,,,,,,,,,,,,,,,,,,,2015,
Jim McQuillan,M,,,,,,,,,,,,,,,,,2013,,,
Robin Wayne Carrell,M,,,,,,,,,,,,,,,,,,,1986,
Peter Hunter,M,,,,,,,,,,,,,2009,,,,,,,
William Lee,M,,,,,,,,,,,,,,,,2007,,,,
Norcott de Bisson Hornibrook,M,,,,,,,,,,,,,,,,,,,,1968
Deborah Young,F,,,,,,,,,,,,,,,,,,1999,,
No Award,N,,,,,,,,,,,,,,,,,,,,
Kenneth John Dallas MacKenzie,M,,,,,,,,,,,,,,,,,,,2003,
Richard Lindsay Dowdenl John Lekner,M,,,,,,,,,,,,,,,,,1997,,,
Henry Arthur Whale,M,,,,,,,,,,,,,,,,,1955,,,
Daniel Frank Walls,M,,,,,,,,,,,,,,,,,,,1988,
Siouxie Wiles,F,,2013,,,,,,,,,,,,,,,,,,
David Noel Harper,M,,,,,,,,,,,,,,,,,,1997,,
Parry Guilford,M,,,,,,,,,,,2014,,,,,,,,,
Colin Wilson,M,,,,,,,,,,,,,,,,,,,,2009
Alistair John Cluny Macpherson,M,,,,,,,,,,,,2005,,,,,,,,
Mark Bolland,M,,,,,,,,,,,,,,,,,,2011,,
Geoffrey Thomas Sandford Baylis,M,,,,,,,,,,,,,,,,1971,,,,1995
Richard Irving Walcott,M,,,,,,,,,,,,,,,,,,,1993,
Elisabeth Slooten,F,,,,,,,,,,,,,,2004,,,,,,
Dominea Rathwell,F,,,,,,,,,2010,,,,,,,,,,,
Lawrence Kenneth Creamer,M,,,,,,,,,,1999,,,,,,,,,,
Peter Steel,M,,,,,,,,,,,,,,,,,,,2009,
Colin Osborne Hutton,M,,,,,,,,,,,,,,,,,,1937,,
Mick Clout,M,,,,,,,,,,,,,,2007,,,,,,
Neville Jordan,M,,,,,,,,,,,,,,,2011,,,,,
Thomas Fredereic Cheesman,M,,,,,,,,,,,,,,,,,,,1918,
Adrian Walcroft,M,,,,,,,,,,,,,,,,,,2002,,
Roger Duncan Shand,M,,,,,,,,,2000,,,,,,,,,,,
George Malcolm thomson,M,,,,,,,,,,,,,,,,,,,1929,
Ralph O'Reilly Piddington,M,,,,,,,,,,,,,,,,,,,1962,
William Noel Benson,M,,,,,,,,,,,,,,,,,,,1933,1944
Richard H. Furneaux,M,,,,,,,,,,,,,,,2012,,,1981,2006,
Joan Metge,F,,,,,,,,,,,,1997,,,,,,,,
Andrew West,M,,,,,,,,,,,,,,,2008,,,,,
Te Rangi Hiroa (Peter H. Buck),M,,,,,,,,,,,,,,,,,,,1932,
Paul Robert Shorten,M,,,,,,,,,2001,,,,,,,,,,,
John Alexander Kernohan,M,,,,,,,,,,,,,,,2007,,,,,
Robert McCormick,M,,,,,,,,,2002,,,,,,,,,,,
Alexei Drummond,M,,,,,,,,,,,,,,,,,,2007,,
Joel Ivor Mann,M,,,,,,,,,,,2004,,,,,,,,,
Alick Lindsay Poole,M,,,,,,,,,,,,,,,,1977,,,,
Mark Richards,M,,,,,,,,,,,2008,,,,,,,,,
Roger Morris,M,,,,,,,,,,,,,,,,,,,,2002
Anthony Edmund Reeve,M,,,,,,,,,,,1997,,,,,,,,,
Max Petrov,M,,,,,,,,,,,,,,,,,,2013,,
Ian Reid,M,,,,,,,,,,,,,2015,,,,,,,
Melissa Rotella,F,,,,,,,,,2013,,,,,,,,,,,
Valery Feigin,M,,,,2015,,,,,,,,,,,,,,,,
Adam Anson Norrie,M,,,,,,,,,2005,,,,,,,,,,,
Ian Lawrence Baumgart,M,,,,,,,,,,,,,,,1987,,,,,
Edward George Bollard,M,,,,,,,,,,,,,,,,,,,1972,
Edward Neill Baker,M,,,,,,,,,,,,,2006,,,,,,1997,
John Stephen Ayers,M,,,,,,,,,,,,,,,2004,,,,,
Janice Lord,F,,,,,,,,,,,,,,,,2015,,,,
Michael Joy,M,,,,,,,,,,,,,,2013,,,,,,
Walter Sidney Metcalf,M,,,,,,,,,,,,,,,,,1966,,,
